Profile Name,Start Time,Duration,Attributes,Title,Supplemental Video Type,Device Type,Bookmark,Latest Bookmark,Country
Insurgent Teen,7/1/2023 16:02,0:05:26,,Breaking Bad: Season 3: Sunset (Episode 6),,Chrome PC (Cadmium),0:05:11,Not latest view,KE (Kenya)
Insurgent Teen,7/1/2023 14:40,0:48:46,,Breaking Bad: Season 3: Mas (Episode 5),,Chrome PC (Cadmium),0:46:40,0:46:40,KE (Kenya)
Insurgent Teen,7/1/2023 13:17,0:46:36,,Breaking Bad: Season 3: Green Light (Episode 4),,Chrome PC (Cadmium),0:46:39,0:46:39,KE (Kenya)
Insurgent Teen,7/1/2023 12:41,0:15:18,,Breaking Bad: Season 3: I.F.T. (Episode 3),,Chrome PC (Cadmium),0:46:39,0:46:39,KE (Kenya)
Insurgent Teen,7/1/2023 12:29,0:00:09,Autoplayed: user action: None; ,Season 6 Plot Clip:  Lucifer,HOOK,Chrome PC (Cadmium),0:00:09,0:00:09,KE (Kenya)
Insurgent Teen,7/1/2023 0:05,0:31:36,,Breaking Bad: Season 3: I.F.T. (Episode 3),,Netflix Windows App - Cadmium Windows Mobile,0:31:41,Not latest view,KE (Kenya)
Insurgent Teen,6/30/2023 23:19,0:46:31,,Breaking Bad: Season 3: Caballo Sin Nombre (Episode 2),,Netflix Windows App - Cadmium Windows Mobile,0:46:31,0:46:31,KE (Kenya)
Insurgent Teen,6/30/2023 22:33,0:44:45,,Breaking Bad: Season 3: No Más (Episode 1),,Netflix Windows App - Cadmium Windows Mobile,0:46:40,0:46:40,KE (Kenya)
Insurgent Teen,6/30/2023 21:46,0:46:56,,Breaking Bad: Season 2: ABQ (Episode 13),,Netflix Windows App - Cadmium Windows Mobile,0:46:56,0:46:56,KE (Kenya)
Insurgent Teen,6/30/2023 20:58,0:46:57,,Breaking Bad: Season 2: Phoenix (Episode 12),,Netflix Windows App - Cadmium Windows Mobile,0:46:57,0:46:57,KE (Kenya)
Insurgent Teen,6/30/2023 20:31,0:26:44,,Breaking Bad: Season 2: Mandala (Episode 11),,Netflix Windows App - Cadmium Windows Mobile,0:46:54,0:46:54,KE (Kenya)
Insurgent Teen,6/30/2023 13:45,0:20:41,,Breaking Bad: Season 2: Mandala (Episode 11),,Netflix Windows App - Cadmium Windows Mobile,0:20:41,Not latest view,KE (Kenya)
